date,na,open,high,low,close,volume
2016.09.15,0:00,1.02408,1.02935,1.02293,1.02685,110141
2016.09.16,0:00,1.02663,1.03096,1.02512,1.02901,82545
2016.09.19,0:00,1.02855,1.03385,1.0282,1.03251,59676
2016.09.20,0:00,1.03216,1.03299,1.02665,1.03203,65915
2016.09.21,0:00,1.03118,1.03713,1.03092,1.03518,114859
2016.09.22,0:00,1.03505,1.04643,1.03411,1.04502,81067
2016.09.23,0:00,1.04413,1.05417,1.04413,1.05041,70460
2016.09.26,0:00,1.04917,1.05372,1.04839,1.04881,65223
2016.09.27,0:00,1.04854,1.05214,1.04765,1.0497,79224
2016.09.28,0:00,1.04889,1.05842,1.04889,1.05548,83349
2016.09.29,0:00,1.05548,1.0582,1.05154,1.05219,94945
2016.09.30,0:00,1.05068,1.05384,1.04711,1.0495,85951
2016.10.03,0:00,1.05137,1.05672,1.05002,1.05438,60284
2016.10.04,0:00,1.05303,1.05762,1.0508,1.05651,97034
2016.10.05,0:00,1.0548,1.06333,1.05463,1.06184,87744
2016.10.06,0:00,1.05956,1.06344,1.05743,1.0583,77218
2016.10.07,0:00,1.05755,1.06369,1.05599,1.05742,122736
2016.10.10,0:00,1.05777,1.06776,1.05739,1.06538,62826
2016.10.11,0:00,1.06554,1.06987,1.06439,1.06777,96176
2016.10.12,0:00,1.06686,1.07343,1.0668,1.07013,93533
2016.10.13,0:00,1.06889,1.07376,1.06604,1.06618,104744
2016.10.14,0:00,1.06595,1.07632,1.06529,1.07261,94581
2016.10.17,0:00,1.07342,1.07494,1.06592,1.06861,71172
2016.10.18,0:00,1.06722,1.06974,1.06189,1.06559,81871
2016.10.19,0:00,1.06439,1.06846,1.06243,1.06709,72164
2016.10.20,0:00,1.06661,1.06931,1.05896,1.05967,81392
2016.10.21,0:00,1.05809,1.06638,1.05809,1.06024,61533
2016.10.24,0:00,1.06049,1.06683,1.06035,1.06567,55574
2016.10.25,0:00,1.06563,1.07008,1.06405,1.06658,78697
2016.10.26,0:00,1.06518,1.0755,1.06358,1.06897,89795
2016.10.27,0:00,1.06746,1.06982,1.06484,1.06519,84765
2016.10.28,0:00,1.06531,1.06627,1.05937,1.0601,100256
2016.10.31,0:00,1.05915,1.06487,1.05848,1.06315,71776
2016.11.01,0:00,1.06306,1.07028,1.05978,1.06469,98066
2016.11.02,0:00,1.0646,1.06565,1.04875,1.04988,104157
2016.11.03,0:00,1.04992,1.05305,1.04638,1.04642,84468
2016.11.04,0:00,1.04529,1.05137,1.04501,1.0455,94434
2016.11.07,0:00,1.04396,1.05392,1.04314,1.05132,85844
2016.11.08,0:00,1.05033,1.05238,1.04719,1.05005,83305
2016.11.09,0:00,1.04882,1.05297,1.03597,1.04793,304763
2016.11.10,0:00,1.04686,1.06458,1.04621,1.05487,173720
2016.11.11,0:00,1.0539,1.06043,1.05048,1.05869,185910
2016.11.14,0:00,1.05553,1.06574,1.05454,1.06061,163895
2016.11.15,0:00,1.06065,1.0653,1.05965,1.06372,145638
2016.11.16,0:00,1.06277,1.06545,1.05649,1.05693,134741
2016.11.17,0:00,1.05589,1.05786,1.05181,1.05375,118725
2016.11.18,0:00,1.05288,1.05513,1.04452,1.0446,162648
2016.11.21,0:00,1.04741,1.04828,1.04154,1.04154,155040
2016.11.22,0:00,1.04043,1.04911,1.0401,1.04738,125640
2016.11.23,0:00,1.0462,1.05603,1.0462,1.05356,130440
2016.11.24,0:00,1.05247,1.05947,1.05195,1.05685,97725
2016.11.25,0:00,1.05587,1.06095,1.05363,1.05486,110208
2016.11.28,0:00,1.05453,1.05924,1.05325,1.05721,106268
2016.11.29,0:00,1.05596,1.05857,1.04773,1.04928,103916
2016.11.30,0:00,1.04811,1.04975,1.04113,1.04182,122937
2016.12.01,0:00,1.04061,1.04888,1.04056,1.04586,110026
2016.12.02,0:00,1.04517,1.04735,1.04166,1.04203,97752
2016.12.05,0:00,1.04316,1.05163,1.04194,1.04546,131256
2016.12.06,0:00,1.04562,1.04888,1.04157,1.04741,79277
2016.12.07,0:00,1.04695,1.04954,1.04181,1.04344,72928
2016.12.08,0:00,1.04341,1.04345,1.03759,1.03984,110336
2016.12.09,0:00,1.03886,1.04413,1.03798,1.04296,82138
2016.12.12,0:00,1.04341,1.04604,1.0404,1.04184,86374
2016.12.13,0:00,1.04139,1.04242,1.03825,1.04078,83203
2016.12.14,0:00,1.04021,1.04187,1.03738,1.03972,103860
2016.12.15,0:00,1.0391,1.04713,1.03867,1.04458,145835
2016.12.16,0:00,1.04365,1.04929,1.04296,1.04723,107783
2016.12.19,0:00,1.04361,1.04739,1.04336,1.04511,88044
2016.12.20,0:00,1.04437,1.05006,1.04397,1.04902,75603
2016.12.21,0:00,1.04829,1.05014,1.0442,1.04859,65095
2016.12.22,0:00,1.04779,1.04995,1.04335,1.04494,74999
2016.12.23,0:00,1.04464,1.04621,1.04113,1.04125,51256
2016.12.27,0:00,1.0407,1.04408,1.04059,1.04213,39241
2016.12.28,0:00,1.04081,1.04338,1.03624,1.03637,52608
2016.12.29,0:00,1.03525,1.04004,1.03428,1.03593,64145
2016.12.30,0:00,1.03473,1.03982,1.03473,1.03758,92567
2017.01.03,0:00,1.03821,1.04612,1.03523,1.04294,83374
2017.01.04,0:00,1.04163,1.04862,1.04163,1.04476,103223
2017.01.05,0:00,1.0438,1.04773,1.04231,1.0441,138920
2017.01.06,0:00,1.04363,1.0488,1.042,1.0467,108075
2017.01.09,0:00,1.0455,1.05173,1.04523,1.04779,95781
2017.01.10,0:00,1.04649,1.05486,1.04619,1.05391,109907
2017.01.11,0:00,1.05199,1.05699,1.05199,1.05436,162044
2017.01.12,0:00,1.05402,1.05583,1.05033,1.05342,141108
2017.01.13,0:00,1.05319,1.05501,1.04942,1.05022,128650
2017.01.16,0:00,1.05148,1.05431,1.04954,1.0516,99969
2017.01.17,0:00,1.05122,1.05262,1.0477,1.0478,147358
2017.01.18,0:00,1.04764,1.05327,1.04644,1.05306,107483
2017.01.19,0:00,1.05253,1.05428,1.05044,1.05088,140995
2017.01.20,0:00,1.0499,1.05531,1.04911,1.05205,141333
